member_id,tier,segment,churn_probability,reason_1,reason_2,reason_3,recommended_action,annual_value_thb
M016486,Bronze,Champions,0.9960068,typical gap between visits is now 18.2x longer than their own usual pattern (+27 points of risk),visits roughly every 3 days (+11 points of risk),92 visits on record (+7 points of risk),"VIP perks, early access to new drinks, referral ask",19562.77
M019664,Silver,Hibernating,0.9905274,typical gap between visits is now 9.5x longer than their own usual pattern (+24 points of risk),82 days since last visit (+21 points of risk),visits roughly every 3 days (+9 points of risk),Bounce-back free drink + one-question why-survey,18332.81
M006826,Silver,Champions,0.9889254,typical gap between visits is now 18.8x longer than their own usual pattern (+25 points of risk),43 days since last visit (+15 points of risk),visits roughly every 4 days (+11 points of risk),"VIP perks, early access to new drinks, referral ask",16857.59
M019049,Silver,Hibernating,0.96409047,83 days since last visit (+25 points of risk),visits roughly every 2 days (+16 points of risk),visiting 58% less often than their own usual pattern (+11 points of risk),Bounce-back free drink + one-question why-survey,15963.22
M000318,Silver,Hibernating,0.9293007,73 days since last visit (+30 points of risk),visits roughly every 3 days (+19 points of risk),visiting 40% less often than their own usual pattern (+8 points of risk),Bounce-back free drink + one-question why-survey,15323.1
M013194,Silver,Champions,0.99736977,typical gap between visits is now 10.7x longer than their own usual pattern (+21 points of risk),46 days since last visit (+14 points of risk),visits roughly every 4 days (+11 points of risk),"VIP perks, early access to new drinks, referral ask",14960.82
M019766,Gold,Champions,0.99661726,typical gap between visits is now 24.5x longer than their own usual pattern (+21 points of risk),73 days since last visit (+20 points of risk),visits roughly every 4 days (+9 points of risk),"VIP perks, early access to new drinks, referral ask",14941.74
M017232,Bronze,Hibernating,0.9762576,86 days since last visit (+23 points of risk),visits roughly every 2 days (+15 points of risk),visiting 67% less often than their own usual pattern (+8 points of risk),Bounce-back free drink + one-question why-survey,13943.17
M015640,Bronze,Champions,0.9920472,50 days since last visit (+16 points of risk),visits roughly every 2 days (+16 points of risk),57 visits on record (+8 points of risk),"VIP perks, early access to new drinks, referral ask",12172.79
M004764,Silver,Champions,0.9909161,typical gap between visits is now 12.4x longer than their own usual pattern (+23 points of risk),33 days since last visit (+13 points of risk),visits roughly every 5 days (+12 points of risk),"VIP perks, early access to new drinks, referral ask",11113.94
M006507,Silver,Champions,0.9750063,typical gap between visits is now 10.1x longer than their own usual pattern (+36 points of risk),visits roughly every 4 days (+11 points of risk),a member for 245 days (+5 points of risk),"VIP perks, early access to new drinks, referral ask",10968.28
M009687,Bronze,Champions,0.9665612,visits roughly every 2 days (+24 points of risk),35 days since last visit (+16 points of risk),visits down 94% in the last 30 days vs. the 30 before (+8 points of risk),"VIP perks, early access to new drinks, referral ask",10820.24
M002229,Bronze,Champions,0.8248574,typical gap between visits is now 17.3x longer than their own usual pattern (+52 points of risk),a member for 304 days (+6 points of risk),60 visits on record (+4 points of risk),"VIP perks, early access to new drinks, referral ask",10284.44
M003163,Bronze,Champions,0.99224913,visits roughly every 2 days (+19 points of risk),41 days since last visit (+14 points of risk),50 visits on record (+8 points of risk),"VIP perks, early access to new drinks, referral ask",10015.56
M017103,Bronze,Champions,0.9905715,visits roughly every 2 days (+20 points of risk),34 days since last visit (+12 points of risk),54 visits on record (+9 points of risk),"VIP perks, early access to new drinks, referral ask",9699.49
M000155,Gold,Champions,0.8906292,typical gap between visits is now 6.7x longer than their own usual pattern (+48 points of risk),visits roughly every 11 days (+7 points of risk),35 visits on record (+7 points of risk),"VIP perks, early access to new drinks, referral ask",9608.36
M010298,Bronze,Hibernating,0.9896617,83 days since last visit (+20 points of risk),visits roughly every 2 days (+16 points of risk),visiting 50% less often than their own usual pattern (+8 points of risk),Bounce-back free drink + one-question why-survey,9532.81
M017334,Bronze,Hibernating,0.9909026,76 days since last visit (+22 points of risk),visits roughly every 2 days (+17 points of risk),a member for 186 days (+6 points of risk),Bounce-back free drink + one-question why-survey,9239.42
M011899,Bronze,Champions,0.8223305,typical gap between visits is now 12.4x longer than their own usual pattern (+57 points of risk),42 visits on record (+7 points of risk),a member for 231 days (+7 points of risk),"VIP perks, early access to new drinks, referral ask",8514.0
M008152,Bronze,Champions,0.9629528,visits roughly every 3 days (+25 points of risk),visiting 51% less often than their own usual pattern (+11 points of risk),visits down 62% in the last 30 days vs. the 30 before (+9 points of risk),"VIP perks, early access to new drinks, referral ask",8461.27
M007151,Silver,Hibernating,0.9965237,typical gap between visits is now 4.1x longer than their own usual pattern (+21 points of risk),56 days since last visit (+15 points of risk),28 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,8441.82
M014283,Silver,Hibernating,0.98933953,65 days since last visit (+21 points of risk),visits roughly every 3 days (+15 points of risk),visiting 58% less often than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,8186.05
M006637,Silver,Hibernating,0.99156755,60 days since last visit (+18 points of risk),visits roughly every 3 days (+18 points of risk),40 visits on record (+8 points of risk),Bounce-back free drink + one-question why-survey,7962.9
M012108,Bronze,Hibernating,0.9765173,66 days since last visit (+26 points of risk),visits roughly every 3 days (+16 points of risk),a member for 200 days (+7 points of risk),Bounce-back free drink + one-question why-survey,7775.25
M017738,Bronze,Hibernating,0.9763825,71 days since last visit (+29 points of risk),visits roughly every 3 days (+23 points of risk),a member for 194 days (+6 points of risk),Bounce-back free drink + one-question why-survey,7703.77
M010492,Gold,Hibernating,0.98675376,80 days since last visit (+21 points of risk),visits roughly every 4 days (+16 points of risk),30 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,7591.0
M000431,Silver,Champions,0.89442635,typical gap between visits is now 11.5x longer than their own usual pattern (+44 points of risk),visits roughly every 5 days (+8 points of risk),a member for 155 days (+7 points of risk),"VIP perks, early access to new drinks, referral ask",7569.62
M018649,Bronze,Champions,0.99583817,typical gap between visits is now 4.1x longer than their own usual pattern (+21 points of risk),visits roughly every 4 days (+15 points of risk),45 visits on record (+9 points of risk),"VIP perks, early access to new drinks, referral ask",7492.24
M012056,Bronze,Hibernating,0.98743546,76 days since last visit (+23 points of risk),visits roughly every 3 days (+14 points of risk),visiting 53% less often than their own usual pattern (+8 points of risk),Bounce-back free drink + one-question why-survey,7371.26
M014323,Bronze,Champions,0.9499146,typical gap between visits is now 4.8x longer than their own usual pattern (+25 points of risk),visits roughly every 4 days (+17 points of risk),38 visits on record (+8 points of risk),"VIP perks, early access to new drinks, referral ask",7367.14
M005052,Bronze,Hibernating,0.9856857,72 days since last visit (+24 points of risk),visits roughly every 3 days (+16 points of risk),46 visits on record (+8 points of risk),Bounce-back free drink + one-question why-survey,7259.74
M017299,Silver,Champions,0.9898235,visits roughly every 3 days (+21 points of risk),32 days since last visit (+12 points of risk),37 visits on record (+9 points of risk),"VIP perks, early access to new drinks, referral ask",7030.53
M018378,Silver,Champions,0.9895778,typical gap between visits is now 4.1x longer than their own usual pattern (+27 points of risk),22 visits on record (+12 points of risk),a member for 342 days (+7 points of risk),"VIP perks, early access to new drinks, referral ask",7011.55
M003509,Bronze,Hibernating,0.98875636,79 days since last visit (+23 points of risk),typical gap between visits is now 2.3x longer than their own usual pattern (+11 points of risk),30 visits on record (+8 points of risk),Bounce-back free drink + one-question why-survey,6898.55
M014975,Silver,Hibernating,0.9979948,typical gap between visits is now 6.9x longer than their own usual pattern (+20 points of risk),71 days since last visit (+19 points of risk),33 visits on record (+8 points of risk),Bounce-back free drink + one-question why-survey,6898.5
M016200,Bronze,Champions,0.99083227,typical gap between visits is now 13.1x longer than their own usual pattern (+22 points of risk),41 days since last visit (+16 points of risk),37 visits on record (+10 points of risk),"VIP perks, early access to new drinks, referral ask",6822.41
M011962,Silver,Hibernating,0.9892049,46 days since last visit (+20 points of risk),typical gap between visits is now 3.0x longer than their own usual pattern (+17 points of risk),31 visits on record (+8 points of risk),Bounce-back free drink + one-question why-survey,6766.78
M009512,Bronze,Champions,0.95822805,visits roughly every 4 days (+19 points of risk),26 days since last visit (+10 points of risk),29 visits on record (+9 points of risk),"VIP perks, early access to new drinks, referral ask",6714.28
M003344,Bronze,Hibernating,0.96934235,85 days since last visit (+24 points of risk),visits roughly every 3 days (+15 points of risk),29 visits on record (+7 points of risk),Bounce-back free drink + one-question why-survey,6695.5
M008345,Silver,Champions,0.98192006,visits roughly every 3 days (+22 points of risk),30 days since last visit (+12 points of risk),visits down 92% in the last 30 days vs. the 30 before (+7 points of risk),"VIP perks, early access to new drinks, referral ask",6661.8
M005973,Silver,Champions,0.9783207,typical gap between visits is now 6.8x longer than their own usual pattern (+33 points of risk),visits roughly every 11 days (+9 points of risk),33 visits on record (+7 points of risk),"VIP perks, early access to new drinks, referral ask",6567.85
M011398,Silver,Hibernating,0.974287,82 days since last visit (+21 points of risk),visits roughly every 11 days (+11 points of risk),23 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,6477.57
M006785,Gold,Loyal,0.8142121,visiting 68% less often than their own usual pattern (+16 points of risk),21 visits on record (+15 points of risk),visits roughly every 10 days (+14 points of risk),"Tier-up nudge, personalized bundle",6472.91
M016403,Bronze,Champions,0.95453215,typical gap between visits is now 5.9x longer than their own usual pattern (+40 points of risk),visits roughly every 13 days (+8 points of risk),a member for 375 days (+8 points of risk),"VIP perks, early access to new drinks, referral ask",6469.97
M001546,Bronze,Champions,0.9119834,visits roughly every 3 days (+27 points of risk),visits down 53% in the last 30 days vs. the 30 before (+8 points of risk),32 visits on record (+5 points of risk),"VIP perks, early access to new drinks, referral ask",6451.32
M007088,Bronze,Hibernating,0.9770393,80 days since last visit (+22 points of risk),27 visits on record (+10 points of risk),visiting 51% less often than their own usual pattern (+10 points of risk),Bounce-back free drink + one-question why-survey,6429.21
M000140,Bronze,Champions,0.98052394,visits roughly every 3 days (+21 points of risk),visits down 73% in the last 30 days vs. the 30 before (+9 points of risk),20 days since last visit (+8 points of risk),"VIP perks, early access to new drinks, referral ask",6413.77
M007397,Bronze,Hibernating,0.99761355,typical gap between visits is now 3.8x longer than their own usual pattern (+21 points of risk),56 days since last visit (+17 points of risk),34 visits on record (+9 points of risk),Bounce-back free drink + one-question why-survey,6277.82
M007944,Bronze,Champions,0.98598665,visits roughly every 2 days (+21 points of risk),30 days since last visit (+11 points of risk),29 visits on record (+9 points of risk),"VIP perks, early access to new drinks, referral ask",6271.8
M002165,Bronze,Hibernating,0.96395177,80 days since last visit (+23 points of risk),22 visits on record (+12 points of risk),visiting 45% less often than their own usual pattern (+9 points of risk),Bounce-back free drink + one-question why-survey,6163.43
M001069,Bronze,Champions,0.89277816,typical gap between visits is now 2.1x longer than their own usual pattern (+13 points of risk),30 days since last visit (+12 points of risk),31 visits on record (+10 points of risk),"VIP perks, early access to new drinks, referral ask",6119.21
M005937,Gold,Champions,0.94822544,typical gap between visits is now 6.1x longer than their own usual pattern (+35 points of risk),21 visits on record (+14 points of risk),a member for 296 days (+8 points of risk),"VIP perks, early access to new drinks, referral ask",6105.570000000001
M012537,Gold,Hibernating,0.9875945,73 days since last visit (+19 points of risk),16 visits on record (+12 points of risk),typical gap between visits is now 2.6x longer than their own usual pattern (+11 points of risk),Bounce-back free drink + one-question why-survey,6039.43
M009825,Silver,Champions,0.8453627,visiting 41% less often than their own usual pattern (+15 points of risk),visits roughly every 12 days (+13 points of risk),24 visits on record (+12 points of risk),"VIP perks, early access to new drinks, referral ask",6032.03
M000076,Silver,Champions,0.99262977,typical gap between visits is now 5.0x longer than their own usual pattern (+27 points of risk),28 visits on record (+11 points of risk),visits roughly every 12 days (+9 points of risk),"VIP perks, early access to new drinks, referral ask",6016.74
M012193,Silver,Hibernating,0.9803838,53 days since last visit (+20 points of risk),visits roughly every 9 days (+11 points of risk),21 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,5998.76
M008006,Bronze,Hibernating,0.9770602,82 days since last visit (+22 points of risk),visits roughly every 3 days (+16 points of risk),a member for 182 days (+8 points of risk),Bounce-back free drink + one-question why-survey,5918.48
M000470,Bronze,Hibernating,0.99184144,typical gap between visits is now 4.2x longer than their own usual pattern (+23 points of risk),89 days since last visit (+12 points of risk),32 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,5858.52
M009364,Silver,Hibernating,0.997757,typical gap between visits is now 4.5x longer than their own usual pattern (+17 points of risk),58 days since last visit (+14 points of risk),28 visits on record (+11 points of risk),Bounce-back free drink + one-question why-survey,5853.74
M000608,Silver,Hibernating,0.97542304,76 days since last visit (+23 points of risk),visiting 87% less often than their own usual pattern (+11 points of risk),28 visits on record (+10 points of risk),Bounce-back free drink + one-question why-survey,5842.4400000000005
