member_id,signup_date,tier,home_branch,age_band,city,recency_days,frequency,monetary,tenure_days,distinct_branches,home_branch_share,redemption_count,points_balance,morning_visit_ratio,weekend_visit_ratio,avg_days_between_visits,gap_trend,days_to_second_purchase,visits_last_30d_vs_prev_30d,churned,cluster,segment
M000002,2025-11-04,Gold,B14,35-44,Bangkok,0,9,3209.37,177,2,0.8888888888888888,0,317,0.6666666666666666,0.2222222222222222,22.146006944444444,1.540188447769599,10.01736111111111,1.5,0,0,Loyal
M000005,2026-04-15,Bronze,B28,35-44,Chiang Mai,15,1,150.11,15,1,1.0,0,15,1.0,0.0,,,,2.0,0,1,One-and-done
M000006,2025-10-08,Silver,B05,35-44,Bangkok,70,8,1589.67,204,4,0.625,0,155,0.75,0.25,19.11259920634921,1.3117367217908849,18.481944444444444,1.0,1,3,Hibernating
M000007,2026-02-27,Bronze,B17,35-44,Bangkok,16,3,915.55,62,1,1.0,0,90,0.6666666666666666,0.0,23.08888888888889,,13.97222222222222,1.0,0,2,At-risk regulars
M000010,2026-04-25,Bronze,B10,18-24,Bangkok,5,1,60.82,5,1,1.0,0,6,0.0,1.0,,,,2.0,0,1,One-and-done
M000011,2026-02-19,Bronze,B05,18-24,Bangkok,6,3,983.82,70,1,1.0,0,97,0.6666666666666666,0.0,31.871875000000003,,32.56180555555556,1.0,0,2,At-risk regulars
M000012,2025-11-07,Silver,B14,35-44,Bangkok,29,8,1373.52,174,2,0.875,0,132,0.5,0.125,20.68005952380952,1.268297248977376,21.989583333333332,1.0,0,2,At-risk regulars
M000013,2026-04-16,Gold,B12,18-24,Bangkok,14,1,238.01,14,1,1.0,0,23,0.0,0.0,,,,2.0,0,1,One-and-done
M000014,2026-04-04,Silver,B33,18-24,Phuket,3,2,282.89,26,1,1.0,0,27,0.5,0.5,22.75347222222222,,22.75347222222222,3.0,0,1,One-and-done
M000016,2026-02-27,Bronze,B06,25-34,Bangkok,8,4,538.05,62,4,0.25,0,53,0.25,0.0,17.957407407407405,,4.9625,0.6666666666666666,0,2,At-risk regulars
M000017,2026-01-13,Bronze,B07,18-24,Bangkok,49,4,500.84,107,1,1.0,0,48,0.5,0.0,19.362962962962964,,21.559722222222224,0.5,0,3,Hibernating
M000018,2026-03-04,Bronze,B39,25-34,Khon Kaen,5,7,2368.6,57,3,0.7142857142857143,0,234,0.4285714285714285,0.1428571428571428,8.638310185185185,0.7474011987263532,12.645833333333334,1.25,0,0,Loyal
M000019,2025-10-01,Bronze,B15,25-34,Bangkok,4,13,2450.2,211,1,1.0,1,55,0.3846153846153846,0.6923076923076923,17.26383101851852,1.1442787682333877,4.261805555555555,1.5,0,0,Loyal
M000020,2025-09-18,Bronze,B10,25-34,Bangkok,13,12,1937.47,224,3,0.8333333333333334,0,189,0.5833333333333334,0.3333333333333333,19.173926767676768,1.7964896812057425,17.25625,1.0,1,0,Loyal
M000021,2026-02-02,Silver,B32,25-34,Phuket,11,6,899.39,87,2,0.8333333333333334,0,88,0.1666666666666666,0.3333333333333333,15.18777777777778,1.0797658689281238,17.113194444444446,1.0,0,2,At-risk regulars
M000024,2025-04-12,Bronze,B08,45-54,Bangkok,7,25,3546.1,383,6,0.8,1,132,0.44,0.28,15.673032407407408,0.8780524799029271,4.394444444444445,1.0,0,0,Loyal
M000026,2024-09-20,Silver,B23,35-44,Bangkok,74,10,1593.12,587,4,0.7,0,154,0.7,0.3,57.02939814814815,1.8868650853126552,29.291666666666668,1.0,1,3,Hibernating
M000027,2025-10-12,Silver,B38,25-34,Khon Kaen,43,6,973.32,200,2,0.8333333333333334,0,94,0.6666666666666666,0.1666666666666666,31.45180555555556,1.319580214103087,22.81875,0.5,0,3,Hibernating
M000028,2025-08-07,Silver,B08,18-24,Bangkok,56,7,1206.63,266,3,0.7142857142857143,0,117,0.4285714285714285,0.1428571428571428,34.99571759259259,1.3804174112941954,30.195138888888888,0.5,0,3,Hibernating
M000029,2026-02-16,Bronze,B17,45-54,Bangkok,4,4,1194.39,73,2,0.75,0,117,0.5,0.25,23.080787037037037,,38.09444444444444,1.5,0,2,At-risk regulars
M000030,2025-06-29,Bronze,B25,35-44,Chiang Mai,14,15,3245.73,305,3,0.8666666666666667,0,317,0.6,0.2,20.76423611111111,1.8956055571057728,29.735416666666666,1.0,1,0,Loyal
M000031,2026-01-26,Bronze,B38,25-34,Khon Kaen,52,3,302.93,94,2,0.6666666666666666,0,29,0.6666666666666666,0.0,20.99722222222222,,16.391666666666666,0.5,0,1,One-and-done
M000032,2026-03-20,Bronze,B14,45-54,Bangkok,8,5,729.4300000000001,41,1,1.0,0,70,0.2,0.0,8.212326388888888,0.7624044475330092,9.993055555555555,1.3333333333333333,0,2,At-risk regulars
M000033,2026-03-22,Silver,B03,25-34,Bangkok,18,2,440.38,39,1,1.0,0,43,0.0,1.0,21.06875,,21.06875,1.0,0,1,One-and-done
M000035,2026-03-29,Bronze,B27,55+,Chiang Mai,0,3,1099.64,32,1,1.0,0,109,0.6666666666666666,0.3333333333333333,15.872916666666663,,22.685416666666665,1.5,0,2,At-risk regulars
